Time,Connected_Miners,CDAM_Social_Welfare,MDAM_Social_Welfare,CDAM_Winner_Miners,MDAM_Winner_Miners,CDAM_Satisfaction,MDAM_Satisfaction,CDAM_Utilization,MDAM_Utilization,CDAM_Execution_Time,MDAM_Execution_Time
10,818,429534,97118,818,132,0.818,0.132,0.005517408841344143,0.9911707968541327,0.001104116439819336,0.001073598861694336
20,819,428109,97332,819,134,0.819,0.134,0.005524153839927694,0.9963374657691322,0.0015954971313476562,0.0010995864868164062
30,813,423274,96516,813,133,0.813,0.133,0.005483683848426392,0.9895115272025793,0.0011794567108154297,0.001107931137084961
40,810,421663,97717,810,135,0.81,0.135,0.005463448852675741,0.9895924671855819,0.0011415481567382812,0.0011348724365234375
50,809,420553,98824,809,135,0.809,0.135,0.0054567038540921904,0.9902737120425205,0.0011584758758544922,0.001088857650756836
60,811,421767,99522,811,139,0.811,0.139,0.005470193851259291,0.9983272403512795,0.0011005401611328125,0.0010476112365722656
70,813,423416,97781,813,136,0.813,0.136,0.005483683848426392,0.9945905111359926,0.0010585784912109375,0.0011391639709472656
80,813,422007,96887,813,136,0.813,0.136,0.005483683848426392,0.9974031755453331,0.001071929931640625,0.0011053085327148438
90,811,421936,97361,811,135,0.811,0.135,0.005470193851259291,0.9878792375453601,0.00110626220703125,0.001049041748046875
100,792,411155,96866,792,134,0.792,0.134,0.005342038878171836,0.9881220574943679,0.0010688304901123047,0.0011725425720214844
110,784,407377,97222,784,135,0.784,0.135,0.0052880788895034335,0.9940644012464758,0.0011093616485595703,0.0011074542999267578
120,796,414389,97430,796,136,0.796,0.136,0.005369018872506037,0.9904288470099422,0.001116037368774414,0.00110626220703125
130,789,411364,97993,789,136,0.789,0.136,0.005321803882421185,0.9925467765651769,0.0011184215545654297,0.0011057853698730469
140,784,408388,97545,784,137,0.784,0.137,0.0052880788895034335,0.9891203172847334,0.0011010169982910156,0.0011115074157714844
150,784,409905,98774,784,136,0.784,0.136,0.0052880788895034335,0.9907593519405361,0.0014729499816894531,0.001291036605834961
160,786,408239,98638,786,135,0.786,0.135,0.005301568886670533,0.9920409016714107,0.0010523796081542969,0.0014233589172363281
170,781,406610,98064,781,134,0.781,0.134,0.005267843893752782,0.9911640518555491,0.0010595321655273438,0.0010528564453125
180,777,403361,97381,777,134,0.777,0.134,0.005240863899418581,0.9867798027762414,0.0012545585632324219,0.001168966293334961
190,775,404973,98152,775,137,0.775,0.137,0.0052273739022514806,0.997524585519837,0.0011014938354492188,0.001901865005493164
200,778,405060,98169,778,137,0.778,0.137,0.005247608898002132,0.9945095711529901,0.0010805130004882812,0.0011296272277832031
210,789,410557,98327,789,136,0.789,0.136,0.005321803882421185,0.9903816320198573,0.0010867118835449219,0.0010952949523925781
220,787,411650,98443,787,136,0.787,0.136,0.005308313885254084,0.9901118320765153,0.0011415481567382812,0.0011186599731445312
230,792,414883,98422,792,136,0.792,0.136,0.005342038878171836,0.9958181008781988,0.001031637191772461,0.0010828971862792969
240,801,417771,98153,801,136,0.801,0.136,0.005402743865423788,0.9915215367804773,0.0010471343994140625,0.0013051033020019531
250,804,419403,98989,804,137,0.804,0.137,0.005422978861174439,0.9908942519122071,0.0010504722595214844,0.0010676383972167969
260,803,419397,98888,803,136,0.803,0.136,0.005416233862590889,0.9906311969674486,0.001214742660522461,0.0010890960693359375
270,807,421053,99290,807,138,0.807,0.138,0.00544321385692509,0.9914068718045569,0.0011191368103027344,0.0012981891632080078
280,811,423596,99176,811,137,0.811,0.137,0.005470193851259291,0.9888100473498901,0.0010700225830078125,0.0010929107666015625
290,817,424007,98609,817,137,0.817,0.137,0.005510663842760593,0.9916834167464825,0.0010857582092285156,0.0010988712310791016
300,820,425979,99876,820,138,0.82,0.138,0.005530898838511244,0.9906446869646157,0.0011246204376220703,0.0010743141174316406
310,822,427861,98846,822,137,0.822,0.137,0.005544388835678344,0.9889989073102294,0.001108407974243164,0.0010759830474853516
320,825,428680,98053,825,137,0.825,0.137,0.005564623831428995,0.9905839819773637,0.0010595321655273438,0.0010945796966552734
330,832,432369,98342,832,138,0.832,0.138,0.0056118388215138475,0.9932617464150333,0.001069784164428711,0.0011043548583984375
340,836,434120,97984,836,136,0.836,0.136,0.005638818815848048,0.9912180118442175,0.0017197132110595703,0.0011208057403564453
350,835,433217,97826,835,135,0.835,0.135,0.005632073817264499,0.9886953823739697,0.0011029243469238281,0.0011093616485595703
360,840,434957,97826,840,135,0.84,0.135,0.00566579881018225,0.9886953823739697,0.001056671142578125,0.0011525154113769531
370,834,431389,97288,834,135,0.834,0.135,0.005625328818680948,0.9922567416260842,0.0010554790496826172,0.0010843276977539062
380,837,433649,96644,837,138,0.837,0.138,0.005645563814431599,0.9957708858881139,0.0010385513305664062,0.0010914802551269531
390,838,434271,96777,838,138,0.838,0.138,0.005652308813015149,0.9962025657974611,0.001039266586303711,0.001094818115234375
400,834,432855,97228,834,138,0.834,0.138,0.005625328818680948,0.9956022609235252,0.0010609626770019531,0.0010831356048583984
410,832,432934,96843,832,136,0.832,0.136,0.0056118388215138475,0.9944151411728204,0.0033719539642333984,0.0017921924591064453
420,830,431440,95329,830,136,0.83,0.136,0.005598348824346747,0.9924051315949224,0.0011107921600341797,0.0011050701141357422
430,828,431915,95888,828,133,0.828,0.133,0.005584858827179647,0.992486071577925,0.0010647773742675781,0.0011858940124511719
440,829,433133,95190,829,133,0.829,0.133,0.005591603825763196,0.9903344170297724,0.0010385513305664062,0.0010952949523925781
450,831,433763,95556,831,131,0.831,0.131,0.005605093822930297,0.9902737120425205,0.001997232437133789,0.001894235610961914
460,837,437858,95398,837,131,0.837,0.131,0.005645563814431599,0.9869012127507453,0.0010242462158203125,0.0010690689086914062
470,842,440536,95355,842,132,0.842,0.132,0.005679288807349351,0.9931875514306142,0.0010416507720947266,0.0010762214660644531
480,845,442349,95995,845,132,0.845,0.132,0.005699523803100001,0.9952919909886819,0.0011415481567382812,0.0011219978332519531
490,855,447406,95620,855,133,0.855,0.133,0.0057669737889355045,0.994705176111913,0.0010371208190917969,0.0011081695556640625
500,855,447278,95204,855,133,0.855,0.133,0.0057669737889355045,0.9899836771034278,0.001064300537109375,0.0011031627655029297
510,856,448222,95204,856,133,0.856,0.133,0.005773718787519055,0.9899836771034278,0.0010101795196533203,0.0010590553283691406
520,859,450550,96038,859,135,0.859,0.135,0.005793953783269705,0.9883716224419593,0.0010557174682617188,0.001115560531616211
530,863,452783,96056,863,134,0.863,0.134,0.005820933777603907,0.9855724480297859,0.0011065006256103516,0.0010898113250732422
540,866,454802,95251,866,133,0.866,0.133,0.005841168773354557,0.9863616128640613,0.0010514259338378906,0.0012180805206298828
550,869,456840,95223,869,134,0.869,0.134,0.005861403769105209,0.9948603110793347,0.0010445117950439453,0.0011205673217773438
560,874,459409,95697,874,133,0.874,0.133,0.00589512876202296,0.9950221910453398,0.0011074542999267578,0.0010900497436523438
570,876,460069,94562,876,131,0.876,0.131,0.005908618759190061,0.9888707523371421,0.0010204315185546875,0.001085519790649414
580,878,461101,94845,878,132,0.878,0.132,0.0059221087563571615,0.9918452967124877,0.001032114028930664,0.0011119842529296875
590,880,461573,94939,880,133,0.88,0.133,0.0059355987535242615,0.9961688408045434,0.0015835762023925781,0.0010933876037597656
600,881,460981,94588,881,133,0.881,0.133,0.005942343752107812,0.9949884660524221,0.0009908676147460938,0.00109100341796875
